respondent_id,Q1_age_group,Q2_city_tier,Q3_residence_type,Q4_num_dogs,Q5_dog_type,Q6_ownership_duration,Q7_monthly_spend_inr,Q7_spend_range,Q8_top_spend_category,Q9_online_purchase_freq,Q10_challenges,Q11_vet_discovery,Q12_lost_dog_experience,Q13_pet_space_satisfaction,Q14_preferred_features,Q15_app_usage,Q16_purchase_platform,Q17_location_sharing,Q18_subscription_pref,Q19_adoption_interest,Q20_community_importance,Q21_social_media_dogs,Q22_reviews_importance,Q23_vax_tracking,Q24_emergency_vet_freq,Q25_app_adoption
R0256,25-34,Tier-2,Non-gated apartment,1 dog,Purebred|Mixed breed,3-5 years,2663.0,2500-5000,Vet & medicines,Never,Genuine food/accessories hard to find,Word of mouth,"Yes, managed eventually",Satisfied,Pet-friendly places|Nearby vet directory,Rarely,Local pet store,Yes when using app,Freemium,Yes considering,Very Important,Not interested,Extremely Important,Spreadsheet/notes app,,Maybe
R0257,60+,Tier-2,Other,1 dog,Purebred,5+ years,2895.0,2500-5000,Grooming,Rarely,Hard to find boarding/walker|Cannot find dog trainer|Hard to find reliable vet,No reliable way,Not applicable,Neutral,Dog trainer directory,Often,Heads Up For Tails/Supertails,Unsure,Free with ads,Yes considering,Neutral,Not yet but would,Very Important,Physical diary,Once a year or less,No
R0258,35-44,Metro,Gated apartment,1 dog,Indian Pariah|Purebred,1-3 years,2242.0,1000-2500,Vet & medicines,Frequently,Hard to find boarding/walker|Genuine food/accessories hard to find|Hard to find reliable vet,Social media,No,Satisfied,Dog trainer directory|Health/vaccination tracker|Community/playdates,,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Neutral,Passive,Extremely Important,Don't track,Once a year or less,No
R0259,35-44,Metro,Gated apartment,2 dogs,Mixed breed|Rescued stray,5+ years,,nan,Vet & medicines,Very frequently,No local dog owner community|Hard to find reliable vet|Lack of grooming services,Google Maps,Not applicable,Dissatisfied,Online marketplace,Never,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Very Important,Active,,Spreadsheet/notes app,Once a year or less,Maybe
R0260,18-24,Metro,Gated apartment,1 dog,Adopted from shelter|Rescued stray,1-3 years,4489.0,2500-5000,Grooming,Never,Lack of grooming services|No local dog owner community,Social media,"Yes, very difficult",Dissatisfied,Adoption/fostering network|Health/vaccination tracker|Boarding/walking listings,Sometimes,Local pet store,Yes when using app,Free with ads,Yes considering,Not at all,Passive,Somewhat Important,Don't track,More than 3 times,Yes
R0261,35-44,Tier-3,Independent house,1 dog,Purebred,1-3 years,3167.0,2500-5000,Vet & medicines,Occasionally,Losing track of vaccinations,Google Maps,No,Neutral,Dog-friendly travel guide|Lost-and-found alerts|Health/vaccination tracker,,Amazon/Flipkart,Yes always,Free with ads,Maybe someday,Very Important,Not yet but would,Somewhat Important,Dedicated pet app,More than 3 times,Maybe
R0262,60+,Tier-2,Rented,2 dogs,Mixed breed|Indian Pariah,5+ years,4694.0,  2500-5000  ,Food & treats,Very frequently,Genuine food/accessories hard to find,Word of mouth,No,Dissatisfied,Grooming listings|Dog trainer directory|Health/vaccination tracker,Often,Heads Up For Tails/Supertails,Yes when using app,Would not pay,No,Very Important,Not yet but would,Extremely Important,Don't track,Once a year or less,Maybe
R0263,18-24,Tier-3,Gated apartment,1 dog,Purebred|Rescued stray,5+ years,2195.0,1000-2500,Food & treats,Frequently,Lack of grooming services,No reliable way,"Yes, managed eventually",Dissatisfied,Nearby vet directory,Sometimes,Amazon/Flipkart,No,Freemium,Yes considering,Neutral,Passive,Extremely Important,Spreadsheet/notes app,Once a year or less,No
R0264,25-34,Metro,Gated apartment,3+ dogs,Purebred,3-5 years,,nan,Grooming,Never,Lack of grooming services|Cannot find dog trainer|Genuine food/accessories hard to find,Google Maps,"Yes, very difficult",Neutral,Online marketplace,Never,Amazon/Flipkart,Yes always,Monthly sub,No,Somewhat Important,Passive,Very Important,Rely on memory,Once a year or less,Yes
R0265,45-59,Tier-2,Non-gated apartment,2 dogs,Rescued stray,3-5 years,3509.0,2500-5000,Accessories,Occasionally,No local dog owner community|Hard to find boarding/walker,,"Yes, managed eventually",Dissatisfied,Dog-friendly travel guide|Health/vaccination tracker,Rarely,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Very Important,Not interested,Extremely Important,Rely on memory,Once a year or less,Maybe
R0266,35-44,Tier-2,Gated apartment,1 dog,Rescued stray,5+ years,4018.0,2500-5000,Accessories,Never,Hard to find reliable vet,Google Maps,"Yes, managed eventually",Satisfied,Health/vaccination tracker|Lost-and-found alerts,Rarely,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Not at all,Passive,Somewhat Important,Don't track,Once a year or less,Yes
R0267,35-44,Tier-2,Non-gated apartment,3+ dogs,Adopted from shelter,1-3 years,10514.0,>10000,Food & treats,Frequently,Losing track of vaccinations|Hard to find reliable vet|Lack of grooming services,Word of mouth,"Yes, very difficult",Dissatisfied,Nearby vet directory,Never,Amazon/Flipkart,Unsure,Freemium,No,Very Important,Passive,Very Important,Rely on memory,Once a year or less,Maybe
R0268,35-44,Tier-2,Independent house,None,nan,Planning to adopt,223.0,<1000,nan,Rarely,No local dog owner community,Word of mouth,No,Dissatisfied,Grooming listings|Nearby vet directory,Sometimes,Local pet store,Unsure,,Maybe someday,Very Important,Not yet but would,Extremely Important,Don't track,Never,Maybe
R0269,25-34,Metro,Rented,1 dog,Mixed breed|Indian Pariah,3-5 years,3631.0,2500-5000,,Frequently,Hard to find boarding/walker,Word of mouth,"Yes, managed eventually",Very Satisfied,Health/vaccination tracker|Adoption/fostering network|Dog trainer directory,Often,Local pet store,Yes always,Freemium,Maybe someday,Not Important,Passive,Not Important,Rely on memory,Never,Yes
R0270,25-34,Tier-2,Rented,1 dog,Mixed breed|Purebred,1-3 years,3236.0,2500-5000,Online marketplace,Very frequently,No local dog owner community|No pet-friendly spaces|Difficulty adopting/fostering,Word of mouth,No,Dissatisfied,Boarding/walking listings|Grooming listings,Often,Amazon/Flipkart,Yes when using app,Free with ads,No,,Passive,Extremely Important,Physical diary,Never,Maybe
R0271,45-59,Metro,Non-gated apartment,1 dog,Mixed breed,1-3 years,2731.0,2500-5000,,Very frequently,Losing track of vaccinations|Hard to find reliable vet|Lack of grooming services,Word of mouth,No,Dissatisfied,Lost-and-found alerts|Adoption/fostering network|Health/vaccination tracker,Sometimes,Local pet store,Yes always,Annual sub,No,Not Important,Passive,Extremely Important,Spreadsheet/notes app,Once a year or less,No
R0272,45-59,Metro,Other,3+ dogs,Mixed breed|Rescued stray,5+ years,9699.0,5000-10000,,Frequently,Hard to find reliable vet,Google Maps,"Yes, managed eventually",Dissatisfied,Online marketplace|Nearby vet directory|Grooming listings,Rarely,Amazon/Flipkart,Yes when using app,Free with ads,Yes considering,Very Important,Active,Somewhat Important,Rely on memory,2-3 times a year,No
R0273,45-59,tier-2,Independent house,None,Mixed breed,Planning to adopt,72.0,<1000,nan,Rarely,No pet-friendly spaces|Lack of grooming services,No reliable way,"Yes, managed eventually",Dissatisfied,Grooming listings,Rarely,Amazon/Flipkart,Yes when using app,Freemium,Maybe someday,Very Important,Passive,Very Important,Don't track,Never,Yes
R0274,45-59,Tier-2,Gated apartment,1 dog,Purebred,5+ years,2308.0,1000-2500,Accessories,Rarely,Lack of grooming services|Difficulty adopting/fostering,Social media,Not applicable,Dissatisfied,Grooming listings,Rarely,Amazon/Flipkart,Yes always,Would not pay,Maybe someday,Somewhat Important,Passive,Not Important,Rely on memory,Once a year or less,Maybe
R0275,25-34,Rural,Non-gated apartment,1 dog,Adopted from shelter|Mixed breed,3-5 years,3209.0,2500-5000,Food & treats,Occasionally,Travel challenges with dog,Word of mouth,Not applicable,Very Dissatisfied,Grooming listings|Dog trainer directory,Never,Amazon/Flipkart,Unsure,Free with ads,Yes considering,Neutral,Passive,Extremely Important,Rely on memory,Once a year or less,Yes
R0276,25-34,Tier-2,Non-gated apartment,1 dog,Indian Pariah|Mixed breed,3-5 years,4268.0,2500-5000,Food & treats,Occasionally,Hard to find boarding/walker,Social media,"Yes, managed eventually",Dissatisfied,Health/vaccination tracker,Never,Local pet store,No,Annual sub,Yes considering,,Not yet but would,Extremely Important,Don't track,Once a year or less,Yes
R0277,45-59,Tier-2,Gated apartment,1 dog,Mixed breed,5+ years,3988.0,2500-5000,Vet & medicines,Never,Hard to find reliable vet|Lack of grooming services,Google Maps,No,Neutral,Pet-friendly places,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Annual sub,Yes considering,Somewhat Important,Passive,Extremely Important,Rely on memory,Never,Maybe
R0278,35-44,tier-2,Gated apartment,1 dog,Rescued stray|Purebred,3-5 years,1708.0,1000-2500,Vet & medicines,Occasionally,Lack of grooming services|Hard to find reliable vet|Losing track of vaccinations,Social media,Not applicable,Very Dissatisfied,Adoption/fostering network|Boarding/walking listings,Often,Local pet store,Yes when using app,Freemium,Yes considering,Neutral,,Extremely Important,Spreadsheet/notes app,More than 3 times,Yes
R0279,35-44,Tier-2,,2 dogs,Purebred|Mixed breed,1-3 years,,nan,Food & treats,Very frequently,Losing track of vaccinations,Word of mouth,Not applicable,Satisfied,Pet-friendly places|Nearby vet directory|Event calendar,Never,Heads Up For Tails/Supertails,Unsure,Would not pay,No,Neutral,Not interested,Very Important,Rely on memory,Once a year or less,Yes
R0280,45-59,Metro,Gated apartment,1 dog,Mixed breed,1-3 years,3847.0,2500-5000,Grooming,Frequently,Hard to find reliable vet,Google Maps,"Yes, very difficult",Neutral,Grooming listings,Rarely,Brand website,Yes always,Freemium,Maybe someday,Neutral,Not yet but would,Very Important,Rely on memory,More than 3 times,Maybe
R0281,45-59,Metro,Independent house,2 dogs,Adopted from shelter|Purebred,5+ years,5102.0,5000-10000,Vet & medicines,Rarely,Lack of grooming services|Losing track of vaccinations|No local dog owner community,Pet app,No,Dissatisfied,Community/playdates,Never,Amazon/Flipkart,Yes always,Freemium,No,Not at all,,Very Important,Rely on memory,2-3 times a year,Yes
R0282,25-34,Metro,Non-gated apartment,1 dog,Adopted from shelter|Purebred,1-3 years,6848.0,5000-10000,,Occasionally,Lack of grooming services|Hard to find reliable vet|Hard to find boarding/walker,Google Maps,No,Very Dissatisfied,Nearby vet directory|Dog-friendly travel guide,Rarely,Brand website,Yes when using app,Free with ads,No,Neutral,Passive,Extremely Important,,Once a year or less,Maybe
R0283,25-34,Tier-2,Gated apartment,2 dogs,Rescued stray,<1 year,2129.0,1000-2500,Food & treats,Occasionally,Losing track of vaccinations|Hard to find reliable vet,Word of mouth,"Yes, very difficult",Satisfied,Pet-friendly places|Community/playdates,Often,Heads Up For Tails/Supertails,Yes when using app,Freemium,Maybe someday,Not Important,Not yet but would,Very Important,Rely on memory,Once a year or less,Maybe
R0284,18-24,Metro,Independent house,2 dogs,Indian Pariah,5+ years,4933.0,2500-5000,Food & treats,Frequently,Genuine food/accessories hard to find|Travel challenges with dog|Hard to find reliable vet,Word of mouth,No,,Grooming listings,Never,Local pet store,Unsure,Free with ads,No,Somewhat Important,Not yet but would,Extremely Important,Don't track,Once a year or less,Yes
R0285,35-44,Metro,Non-gated apartment,1 dog,Purebred,5+ years,4490.0,  2500-5000  ,Accessories,Occasionally,Hard to find boarding/walker|No local dog owner community,Word of mouth,No,Neutral,Health/vaccination tracker,Sometimes,Amazon/Flipkart,Yes always,Monthly sub,Maybe someday,Neutral,Passive,Somewhat Important,Spreadsheet/notes app,Once a year or less,Yes
R0286,18-24,Metro,Non-gated apartment,1 dog,Rescued stray|Purebred,3-5 years,5171.0,5000-10000,Grooming,Very frequently,No local dog owner community|Hard to find boarding/walker|No pet-friendly spaces,Social media,No,Neutral,Adoption/fostering network|Health/vaccination tracker|Grooming listings,,Heads Up For Tails/Supertails,Yes when using app,Free with ads,Maybe someday,Very Important,Active,Somewhat Important,Rely on memory,More than 3 times,Yes
R0287,25-34,Rural,Rented,2 dogs,Purebred,<1 year,3614.0,2500-5000,Accessories,Frequently,Hard to find boarding/walker|Hard to find reliable vet|Difficulty adopting/fostering,No reliable way,"Yes, managed eventually",Very Dissatisfied,Health/vaccination tracker|Dog trainer directory,Sometimes,Local pet store,No,Freemium,Yes considering,Somewhat Important,Passive,Very Important,Don't track,2-3 times a year,Maybe
R0288,25-34,Metro,Non-gated apartment,1 dog,Mixed breed|Rescued stray,5+ years,3468.0,2500-5000,Accessories,Very frequently,Travel challenges with dog|Losing track of vaccinations|No local dog owner community|Difficulty ,Social media,"Yes, managed eventually",Very Dissatisfied,Event calendar|Boarding/walking listings|Grooming listings,Sometimes,Heads Up For Tails/Supertails,No,Free with ads,Maybe someday,Somewhat Important,Not yet but would,Extremely Important,Rely on memory,Once a year or less,No
R0289,25-34,Tier-2,Gated apartment,3+ dogs,Indian Pariah,5+ years,7013.0,  5000-10000  ,Food & treats,Frequently,Hard to find boarding/walker|Losing track of vaccinations|Lack of grooming services,Social media,"Yes, very difficult",Very Satisfied,Health/vaccination tracker|Boarding/walking listings,Sometimes,Heads Up For Tails/Supertails,Yes when using app,Free with ads,Yes considering,Not Important,Not yet but would,Very Important,Physical diary,Once a year or less,Yes
R0290,35-44,Metro,Rented,1 dog,Indian Pariah|Adopted from shelter,1-3 years,5025.0,5000-10000,Food & treats,Frequently,Genuine food/accessories hard to find|No pet-friendly spaces|No local dog owner community,Social media,Not applicable,Very Satisfied,Nearby vet directory,Sometimes,Brand website,Yes when using app,Annual sub,Yes considering,Somewhat Important,Active,Somewhat Important,Physical diary,Once a year or less,Yes
R0291,18-24,Tier-2,Gated apartment,1 dog,Rescued stray|Mixed breed,1-3 years,2217.0,1000-2500,Food & treats,Frequently,Genuine food/accessories hard to find,Word of mouth,"Yes, managed eventually",Very Dissatisfied,Nearby vet directory|Pet-friendly places|Online marketplace,Often,Amazon/Flipkart,Yes always,Annual sub,Yes considering,Somewhat Important,Passive,Very Important,Rely on memory,Once a year or less,Yes
R0292,18-24,Metro,Independent house,1 dog,Purebred|Rescued stray,5+ years,6863.0,5000-10000,Boarding/walking,Rarely,Difficulty adopting/fostering|Hard to find boarding/walker,Word of mouth,"Yes, very difficult",Satisfied,Nearby vet directory|Online marketplace,Rarely,Heads Up For Tails/Supertails,Unsure,Annual sub,Maybe someday,Not at all,Passive,Very Important,Physical diary,2-3 times a year,Maybe
R0293,45-59,Metro,Non-gated apartment,3+ dogs,Rescued stray,,7959.0,5000-10000,Vet & medicines,Rarely,No local dog owner community,,"Yes, very difficult",,Online marketplace|Dog-friendly travel guide|Lost-and-found alerts,Sometimes,Brand website,Yes when using app,Freemium,Maybe someday,Somewhat Important,,Not Important,Don't track,2-3 times a year,Maybe
R0294,25-34,tier-2,Rented,1 dog,Purebred,5+ years,1204.0,1000-2500,Food & treats,Frequently,Hard to find reliable vet,Word of mouth,"Yes, managed eventually",Neutral,Nearby vet directory|Lost-and-found alerts,Rarely,Brand website,No,Monthly sub,No,Neutral,Passive,Very Important,Physical diary,Once a year or less,Maybe
R0295,18-24,Metro,Gated apartment,2 dogs,Purebred,1-3 years,,nan,Food & treats,Never,Genuine food/accessories hard to find,Social media,No,Neutral,Lost-and-found alerts|Pet-friendly places,Often,Amazon/Flipkart,Unsure,Free with ads,No,Very Important,Passive,Extremely Important,Rely on memory,Once a year or less,Maybe
R0296,25-34,Metro,Gated apartment,2 dogs,Rescued stray|Purebred,3-5 years,,nan,Accessories,Occasionally,No pet-friendly spaces|Losing track of vaccinations,Word of mouth,No,Neutral,Lost-and-found alerts|Pet-friendly places,Often,Brand website,,Freemium,Maybe someday,Somewhat Important,Not yet but would,Very Important,Don't track,Once a year or less,Yes
R0297,35-44,Metro,,1 dog,Mixed breed,3-5 years,6891.0,5000-10000,Accessories,Frequently,Losing track of vaccinations,Google Maps,Not applicable,Neutral,Nearby vet directory|Lost-and-found alerts,Never,Amazon/Flipkart,Unsure,Freemium,Yes considering,Somewhat Important,Passive,,Spreadsheet/notes app,Once a year or less,Maybe
R0298,25-34,Metro,Independent house,None,nan,Planning to adopt,,nan,nan,Frequently,Genuine food/accessories hard to find|Travel challenges with dog,Google Maps,No,Dissatisfied,Grooming listings,Often,Brand website,Yes when using app,Monthly sub,No,Very Important,Not yet but would,Extremely Important,Rely on memory,Once a year or less,Yes
R0299,35-44,Metro,Gated apartment,2 dogs,Rescued stray,1-3 years,7787.0,5000-10000,Vet & medicines,Never,Difficulty adopting/fostering|Hard to find boarding/walker|Cannot find dog trainer,Google Maps,"Yes, managed eventually",,Community/playdates,Sometimes,Amazon/Flipkart,Unsure,Free with ads,Maybe someday,Neutral,Not yet but would,Extremely Important,Don't track,Never,Yes
R0300,18-24,Metro,Non-gated apartment,1 dog,Purebred|Indian Pariah,1-3 years,3904.0,2500-5000,Grooming,Occasionally,Hard to find boarding/walker|Lack of grooming services,Google Maps,"Yes, managed eventually",Dissatisfied,Grooming listings|Online marketplace|Health/vaccination tracker,Often,Local pet store,Yes when using app,Monthly sub,No,Somewhat Important,Not interested,Not Important,Don't track,Never,Yes
R0301,18-24,Tier-3,Independent house,2 dogs,Adopted from shelter|Indian Pariah,3-5 years,4988.0,2500-5000,Food & treats,Occasionally,Hard to find boarding/walker,No reliable way,No,Very Dissatisfied,Lost-and-found alerts|Nearby vet directory|Pet-friendly places,Often,Amazon/Flipkart,Yes always,Would not pay,Yes considering,Somewhat Important,Not yet but would,Extremely Important,Don't track,2-3 times a year,Yes
R0302,25-34,Tier-2,Rented,1 dog,Purebred|Mixed breed,3-5 years,3544.0,2500-5000,Food & treats,Rarely,Hard to find reliable vet,Word of mouth,No,Very Dissatisfied,Health/vaccination tracker|Online marketplace|Dog trainer directory,Never,Local pet store,No,Freemium,Maybe someday,Not Important,Active,Somewhat Important,Spreadsheet/notes app,Once a year or less,Maybe
R0303,25-34,Tier-2,Non-gated apartment,1 dog,Adopted from shelter,5+ years,,nan,Food & treats,Very frequently,Losing track of vaccinations,Social media,No,Neutral,Dog trainer directory|Nearby vet directory|Community/playdates,Often,Heads Up For Tails/Supertails,Unsure,Freemium,Yes considering,Somewhat Important,Not yet but would,Somewhat Important,Physical diary,Once a year or less,Yes
R0304,35-44,Metro,Non-gated apartment,2 dogs,Purebred|Indian Pariah,5+ years,2326.0,1000-2500,Food & treats,Frequently,Travel challenges with dog,Word of mouth,No,Dissatisfied,Dog trainer directory|Community/playdates,,Brand website,Yes when using app,Free with ads,Maybe someday,Somewhat Important,Not yet but would,Extremely Important,Physical diary,Once a year or less,Maybe
R0305,35-44,Rural,Rented,1 dog,Mixed breed|Adopted from shelter,5+ years,3783.0,2500-5000,Vet & medicines,Very frequently,Cannot find dog trainer|Travel challenges with dog,Word of mouth,"Yes, very difficult",Very Dissatisfied,Health/vaccination tracker,Rarely,Local pet store,No,Freemium,Maybe someday,Not at all,Active,Extremely Important,Physical diary,Once a year or less,Maybe
R0306,60+,Metro,Independent house,1 dog,Rescued stray|Adopted from shelter,5+ years,4001.0,2500-5000,Training,Never,Lack of grooming services|Losing track of vaccinations|Cannot find dog trainer,Word of mouth,No,Very Dissatisfied,Dog trainer directory|Lost-and-found alerts|Adoption/fostering network,Often,Brand website,No,Freemium,Maybe someday,Very Important,Active,Extremely Important,Rely on memory,More than 3 times,Yes
R0307,25-34,Metro,Gated apartment,1 dog,Rescued stray,1-3 years,4438.0,2500-5000,Food & treats,Occasionally,Losing track of vaccinations,Google Maps,"Yes, very difficult",Neutral,Pet-friendly places|Boarding/walking listings|Nearby vet directory,Sometimes,Local pet store,No,Would not pay,Maybe someday,Not at all,Active,Very Important,Rely on memory,Once a year or less,Yes
R0308,25-34,Tier-2,,1 dog,Adopted from shelter|Rescued stray,1-3 years,2700.0,2500-5000,Training,Frequently,No pet-friendly spaces,Google Maps,"Yes, very difficult",Dissatisfied,Adoption/fostering network|Grooming listings|Lost-and-found alerts,Often,Local pet store,Yes when using app,Free with ads,Yes considering,Somewhat Important,Active,Not Important,Physical diary,2-3 times a year,Maybe
R0309,45-59,Metro,Rented,1 dog,Adopted from shelter|Mixed breed,3-5 years,5721.0,5000-10000,Food & treats,Occasionally,No local dog owner community|Lack of grooming services,,"Yes, managed eventually",Dissatisfied,Online marketplace,Sometimes,Local pet store,No,Free with ads,Yes considering,Neutral,Active,Very Important,Don't track,2-3 times a year,Yes
R0310,25-34,Metro,Rented,2 dogs,Rescued stray|Indian Pariah,<1 year,,nan,Vet & medicines,Rarely,Hard to find boarding/walker|Lack of grooming services|No pet-friendly spaces,Google Maps,No,Dissatisfied,Community/playdates|Health/vaccination tracker|Boarding/walking listings,Sometimes,Amazon/Flipkart,Yes when using app,Would not pay,No,Somewhat Important,Not interested,Extremely Important,Rely on memory,Once a year or less,Yes
R0311,25-34,Tier-2,Gated apartment,1 dog,Adopted from shelter,5+ years,,nan,Food & treats,Very frequently,No local dog owner community|Hard to find reliable vet|Hard to find boarding/walker,Word of mouth,"Yes, very difficult",Neutral,Online marketplace,Often,Local pet store,Yes when using app,Monthly sub,Yes considering,Somewhat Important,Passive,Extremely Important,Rely on memory,Never,Yes
R0312,18-24,Tier-3,Rented,1 dog,Mixed breed,<1 year,2363.0,1000-2500,Vet & medicines,Frequently,Difficulty adopting/fostering,Social media,"Yes, managed eventually",Neutral,Grooming listings|Community/playdates|Health/vaccination tracker,Sometimes,Brand website,Yes always,Annual sub,No,Somewhat Important,Passive,Very Important,Don't track,2-3 times a year,No
R0313,Under 18,Tier-2,Independent house,2 dogs,Purebred|Indian Pariah,1-3 years,2493.0,1000-2500,Food & treats,Occasionally,Travel challenges with dog|Lack of grooming services|Genuine food/accessories hard to find,Google Maps,"Yes, managed eventually",Dissatisfied,Nearby vet directory|Health/vaccination tracker|Community/playdates,,Brand website,Unsure,Annual sub,Maybe someday,Not at all,Not interested,Extremely Important,Spreadsheet/notes app,2-3 times a year,Maybe
R0314,60+,Tier-2,Rented,1 dog,Adopted from shelter|Mixed breed,3-5 years,4746.0,2500-5000,Grooming,Occasionally,Hard to find reliable vet|Lack of grooming services,Social media,"Yes, very difficult",Neutral,Nearby vet directory|Grooming listings,Never,Amazon/Flipkart,Yes when using app,Free with ads,Maybe someday,Neutral,Not yet but would,Extremely Important,Spreadsheet/notes app,Never,Maybe
R0315,45-59,Rural,Other,1 dog,Purebred|Rescued stray,3-5 years,2703.0,2500-5000,Grooming,Never,Hard to find boarding/walker,Google Maps,Not applicable,Very Satisfied,Dog-friendly travel guide|Nearby vet directory,Often,Amazon/Flipkart,Yes always,Freemium,Maybe someday,Somewhat Important,Not yet but would,Extremely Important,Spreadsheet/notes app,Never,Maybe
R0316,35-44,Metro,Independent house,3+ dogs,Adopted from shelter|Mixed breed,5+ years,8226.0,5000-10000,Accessories,Very frequently,Hard to find boarding/walker|Hard to find reliable vet|Losing track of vaccinations,Google Maps,No,Very Dissatisfied,Grooming listings,Never,Local pet store,Yes always,Free with ads,Maybe someday,Neutral,Passive,Extremely Important,Dedicated pet app,Never,Yes
R0317,25-34,Metro,Non-gated apartment,2 dogs,Indian Pariah|Mixed breed,3-5 years,57530.0,>10000,Food & treats,Frequently,No pet-friendly spaces,,No,Satisfied,Pet-friendly places|Health/vaccination tracker|Dog trainer directory,Often,Local pet store,Yes always,Monthly sub,Yes considering,Not Important,Active,,,Once a year or less,Yes
R0318,18-24,Metro,Independent house,1 dog,Mixed breed,1-3 years,3392.0,2500-5000,Grooming,Never,Losing track of vaccinations|Lack of grooming services|Hard to find reliable vet,Word of mouth,No,Satisfied,Health/vaccination tracker|Boarding/walking listings|Nearby vet directory,Often,Amazon/Flipkart,Yes always,Would not pay,Yes considering,Somewhat Important,Not yet but would,Not Important,Rely on memory,Once a year or less,No
R0319,18-24,Metro,Gated apartment,1 dog,Mixed breed|Adopted from shelter,1-3 years,,nan,Grooming,Rarely,Travel challenges with dog|Hard to find boarding/walker,Social media,Not applicable,Very Dissatisfied,Nearby vet directory|Dog trainer directory,Rarely,Amazon/Flipkart,Yes when using app,Free with ads,Yes considering,Somewhat Important,Not interested,Very Important,Don't track,Never,No
R0320,25-34,Metro,Gated apartment,None,nan,<1 year,259.0,<1000,nan,Frequently,No pet-friendly spaces|Hard to find reliable vet,Google Maps,No,Neutral,Nearby vet directory|Adoption/fostering network|Health/vaccination tracker,Never,Local pet store,Unsure,Free with ads,Yes actively,Neutral,Passive,Very Important,Don't track,Never,Maybe
R0321,25-34,Tier-3,Non-gated apartment,1 dog,Adopted from shelter,1-3 years,2217.0,1000-2500,Vet & medicines,Never,Hard to find reliable vet|Travel challenges with dog,No reliable way,"Yes, managed eventually",,Adoption/fostering network,Sometimes,Heads Up For Tails/Supertails,Yes always,Would not pay,Yes actively,Not at all,Not yet but would,Extremely Important,Rely on memory,Once a year or less,Maybe
R0322,35-44,Tier-2,Rented,1 dog,Adopted from shelter,1-3 years,3627.0,2500-5000,Online marketplace,Very frequently,No pet-friendly spaces|Losing track of vaccinations,No reliable way,No,Dissatisfied,Event calendar|Nearby vet directory|Boarding/walking listings,Rarely,Local pet store,Unsure,Free with ads,Maybe someday,Somewhat Important,Passive,Somewhat Important,Rely on memory,Once a year or less,Yes
R0323,35-44,Tier-2,Non-gated apartment,1 dog,Rescued stray|Indian Pariah,3-5 years,2705.0,2500-5000,Grooming,Very frequently,Travel challenges with dog|Hard to find reliable vet|Genuine food/accessories hard to find,Social media,No,Satisfied,Health/vaccination tracker|Online marketplace|Grooming listings,Sometimes,Brand website,Yes always,Free with ads,Maybe someday,Neutral,Passive,Extremely Important,Rely on memory,More than 3 times,Maybe
R0324,25-34,Metro,Gated apartment,1 dog,Purebred,1-3 years,,nan,Grooming,Frequently,Travel challenges with dog|No local dog owner community,No reliable way,No,Neutral,Adoption/fostering network|Grooming listings,Sometimes,Local pet store,No,Free with ads,No,Very Important,Passive,Not Important,Physical diary,2-3 times a year,Yes
R0325,60+,Tier-3,Rented,None,nan,Planning to adopt,167.0,<1000,Food & treats,Frequently,Hard to find reliable vet|No pet-friendly spaces|No local dog owner community,Google Maps,No,Satisfied,Online marketplace,Often,Brand website,No,Annual sub,Yes considering,Neutral,Not yet but would,Somewhat Important,Don't track,Never,Maybe
R0326,35-44,Rural,Other,1 dog,Purebred,5+ years,2567.0,2500-5000,Vet & medicines,Occasionally,Lack of grooming services|No local dog owner community|Difficulty adopting/fostering,Word of mouth,No,Neutral,Health/vaccination tracker|Dog trainer directory|Dog-friendly travel guide,Often,Heads Up For Tails/Supertails,No,Annual sub,No,Somewhat Important,Active,Not Important,,More than 3 times,Yes
R0327,25-34,Tier-3,Independent house,3+ dogs,Indian Pariah,5+ years,7715.0,5000-10000,Vet & medicines,Never,No pet-friendly spaces|Hard to find reliable vet|Losing track of vaccinations,Word of mouth,No,Very Dissatisfied,Health/vaccination tracker,Sometimes,Amazon/Flipkart,Yes when using app,Annual sub,Yes actively,Somewhat Important,Passive,Very Important,Spreadsheet/notes app,Once a year or less,Maybe
R0328,35-44,Metro,Other,1 dog,Indian Pariah,5+ years,3248.0,2500-5000,Food & treats,Frequently,Genuine food/accessories hard to find,Social media,"Yes, managed eventually",Very Dissatisfied,Pet-friendly places|Lost-and-found alerts|Health/vaccination tracker,Sometimes,Heads Up For Tails/Supertails,No,Annual sub,No,Neutral,Not yet but would,Very Important,Dedicated pet app,Once a year or less,Maybe
R0329,25-34,Tier-2,Independent house,1 dog,Rescued stray|Adopted from shelter,1-3 years,20180.0,>10000,Food & treats,Occasionally,No local dog owner community|Hard to find reliable vet,Word of mouth,Not applicable,Neutral,Pet-friendly places|Health/vaccination tracker,,Don't buy online,Yes when using app,Annual sub,No,Neutral,Passive,Somewhat Important,Spreadsheet/notes app,Never,Yes
